company_name,official_url,form_url,form_type,sales_prohibited,captcha,login_required,fields_summary,notes
株式会社ＳｏＺｏ,https://sozo.shop-pro.jp/,https://sozo.shop-pro.jp/customer/inquiries/new,general_inquiry,no,yes,no,"name(required), email(required), inquiry title(required), inquiry content textarea(required), reCAPTCHA field present","Confirmed match: 株式会社SoZo, 福岡県福岡市早良区重留4-3-26, runs 'BEAUTY STORE by SoZo' cosmetics/beauty EC shop on the shop-pro (GMO) platform. Contact form accessible without login, form text explicitly welcomes general questions/feedback (not just order support). No sales-prohibition wording seen. Note: a same-named but unrelated Tokyo advertising agency 'SoZo' also exists at sozo.company - not this company"
株式会社ベガホールディングス,https://www.vegahd.co.jp/,https://www.vegahd.co.jp/entry/,recruitment_only,unclear,unclear,unclear,,"Confirmed: 福岡県北九州市小倉北区三萩野2-6-11, TEL 093-932-6920. Official site is a recruitment-only site (採用情報サイト); the only 'contact-like' link found is /entry/ (job application entry, page titled 'テスト' with minimal content, no visible form fields extracted from text). No general business inquiry form found. Note: a same-named-sounding but separate/different-address company 株式会社ベガ (VEGA, vega-group.co.jp, 福岡市早良区百道浜) does cosmetics but is NOT listed as part of ベガホールディングスグループ on its own site, so was not used as the official site for this entry"
有限会社まさき薬局,https://masaki-ph.jp/,https://masaki-ph.jp/pages/5/,general_inquiry,no,no,no,"name(required), address(optional, postal code + address), phone(optional), email(required, half-width alnum only, appears twice/confirm), inquiry message textarea(optional); confirmation-screen step (確認画面へ) before submit","Confirmed: 有限会社まさき薬局, 福岡県北九州市小倉北区緑ヶ丘1-1-23, TEL 093-581-8851. Community pharmacy (chouzai/health-support pharmacy). Public contact form, no CAPTCHA detected in HTML, no sales-prohibition wording found on page text, no login required"
株式会社ロン・エンタープライズ,,,site_not_found,unclear,unclear,unclear,,"Registered at 福岡県福岡市中央区桜坂3丁目7番27号 (corp no. 8290001027246). @cosme (cosme.net) lists 'ロン・エンタープライズ' as a cosmetics brand maker, confirming it is a cosmetics-related company, but no independent official corporate website or contact form could be located after extensive search (only third-party registries and the @cosme maker listing found, no URL in any registry). Not found"
有限会社ハトヤ,,,site_not_found,unclear,unclear,unclear,,"Multiple companies named 有限会社ハトヤ/株式会社ハトヤ found (Fukui hat retailer, Fukuoka produce wholesaler, Oita microphone dealer) but none plausibly a cosmetics/beauty/health-food business in Fukuoka/Oita; could not confirm match. Not found."
医療法人やまもと皮ふ科,https://y-hifu.com/,http://12123.jp/hs321/,existing_customer_only,unclear,unclear,unclear,"External appointment reservation system link only (12123.jp); no fields extracted (external booking site, not inspected in detail)",Dermatology clinic confirmed at Fukuoka-shi Hakata-ku (812-0044). Site only offers phone/FAX contact and an external patient appointment booking system (12123.jp/hs321) - no general business inquiry form found.
株式会社Ｔ’ＳＨ,https://tsh-fukuoka.com/,,no_form_found,unclear,no,no,,"Fukuoka company running osteopathy/acupuncture clinics, esthetic salon (renew salon), cosmetics EC shop (renew beauty shop), and real estate. Checked top page, real-estate page - no general inquiry contact form found; only HotPepper Beauty / LINE booking links for salon appointments and no visible phone/email/contact link in nav or footer."
株式会社にこらす,https://nicolass.co.jp,https://nicolass.co.jp/Contactus/,no_form_found,unclear,no,no,,"Cosmetics (AZUNON skincare brand, OEM) company confirmed in Fukuoka-shi Minami-ku. The 'お問い合わせ' page contains only phone number (0800-333-1220 / 092-600-1259) and address, no actual input form fields present on the page."
株式会社ＩＤＥＡ,https://www.idea-cosmetics.com/,https://www.idea-cosmetics.com/contact/contact.html,general_inquiry,yes,yes,no,"name, furigana(kana), postal code + address (prefecture/city/rest) fields, age dropdown (optional: 10s-80s), email(required), phone(optional), message textarea 'お問い合わせ内容' required maxlength 1000, privacy-policy agreement checkbox required, reCAPTCHA field","Confirmed: 株式会社イデア, basic cosmetics (skincare) sales, HQ Fukuoka-shi Hakata-ku (est. 1996). Contact page explicitly states '※営業を目的としたお問い合わせはご遠慮ください。ご返事しかねますので、予めご了承ください。' (sales-purpose inquiries declined). Form includes g-recaptcha-response field (reCAPTCHA present)."
株式会社クレア,,,site_not_found,unclear,unclear,unclear,,"Many companies named 株式会社クレア nationwide (cosmetics companies found in Osaka, Tokyo, Kanagawa - not Fukuoka/Oita). Fukuoka-based クレア entities found are unrelated industries (junk removal/recycling '福岡エコサービス', AC installation, interior design). Oita-based クレア entities found are construction/dental-lab related. Could not confidently confirm a cosmetics/beauty/health-food 株式会社クレア in Fukuoka or Oita. Not found."
株式会社ＫＵＲＵＭＩ,https://kurumi21.jp/,,other,unclear,unclear,unclear,,"Confirmed via search: 株式会社KURUMI, cosmetics/health food manufacturing & sales + traditional crafts export, HQ Fukuoka-shi Chuo-ku Harayoshi. However site could not be accessed - browser and WebFetch both failed with 'certificate has expired' error (SSL cert expired), so contact form details could not be verified. Contact email info@kurumi21.jp was found in search snippet."
有限会社プライマリー,https://primaryinc.co.jp/,https://eccart.primaryinc.co.jp/shop/contact,existing_customer_only,unclear,no,no,"name(sei/mei split), furigana(katakana sei/mei), phone, email, inquiry-type dropdown (お届け日時/お支払い/配送/定期の休止・変更等/その他), message textarea, privacy policy agreement checkbox","Confirmed: additive-free cosmetics (PRIMARY series, Non.A acne soap) mail-order company, HQ Fukuoka-ken Kasuya-gun Shingu-machi. Contact form on EC subsite (eccart.primaryinc.co.jp) is oriented toward existing customers (delivery/payment/subscription changes); dropdown options are all order/delivery related plus generic 'その他'. Site also has a skin-consultation form (counselling-form.html) for product advice, also customer-facing, not general business inquiry."
株式会社リーヴオン,,,site_not_found,unclear,unclear,unclear,,"Found live-on.co.jp for 株式会社リーヴオン but it is a logistics/warehousing/overseas-shipping company HQ'd in Tokyo (Arakawa-ku) with offices in Osaka/Saitama/Italy/USA - not cosmetics/beauty/health-food business and not in Fukuoka/Oita. A separate corporate registry entry shows a different 株式会社リーヴオン registered in Fukuoka-shi Hakata-ku (corp# 5290001080207, registered 2018) but no business description or website could be found for it. Could not confidently confirm official site. Not found."
株式会社プラスハーツ,https://plushearts.jp/,https://plushearts.jp/contact/,general_inquiry,no,no,no,"name(required), furigana(required), email(required), company name '御社名'(required), phone(required), subject '件名'(required), message textarea 'お問い合わせ内容'(required), confirmation checkbox (no preview screen, sends directly)","Confirmed: sells miscellaneous goods and cosmetics, HQ Fukuoka-shi Hakata-ku Tenjyamachi (est. July 2023). Contact page uses WordPress Contact Form 7; no reCAPTCHA/captcha field detected in form fields, no sales-solicitation prohibition text found on the page."
株式会社ＰＧＡバイオ技術研究所,http://www.pga-biotech.co.jp/,,no_form_found,unclear,no,no,,"No contact form found; only mailto link (t-narusawa@pga-biotech.co.jp) and phone/fax listed. Site is old-style HTML, no dedicated inquiry form page found in nav (sitemap, link, pp, products, company, philosophy, research pages checked)."
株式会社和光物産,,,site_not_found,unclear,unclear,unclear,,"Could not confidently identify official site. wakobussan.co.jp is a construction-materials company based in Niigata (not Fukuoka/Oita, not cosmetics/health food) - ruled out as mismatch. No other candidate matching Fukuoka/Oita cosmetics/beauty/health-food business found."
ｔｏｃｏｈａｎａ　ｐｒｏｊｅｃｔ株式会社,https://tocohana-pj.co.jp/,https://tocohana-pj.co.jp/#contact,general_inquiry,no,yes,no,"corporate name, name, email, phone, inquiry-type dropdown [スキンケアに関して, 社会貢献事業に関して, 取材依頼, その他], message textarea, reCAPTCHA (g-recaptcha-response), submit button","Fukuoka-shi Hakata-ku, cosmetics e-commerce (トコハナロジー). Contact form labeled '企業様専用フォーム' (business-only form) on homepage #contact section, uses Contact Form 7 + reCAPTCHA. No sales-prohibition wording found on page."
株式会社Ｂｕｌｌｉｏｎ,https://bullion-ohori.com/,,no_form_found,unclear,unclear,unclear,,"Fukuoka-shi Chuo-ku, operates Nail Salon Bullion (nail/eyelash/esthetic salons, beauty products sales) - confirmed via company page. Site only has phone numbers, an appointment 'Online Reserve' (via app) and social media (Facebook/Instagram); no general business-inquiry contact form found in nav (concept, service, menu, access, company, blog, reserve)."
一般社団法人ドクターＳＣラボ,https://doctor-sc-laboratory.com/,https://doctor-sc-laboratory.com/#contact,general_inquiry,no,no,no,"name, email, message textarea, simple 3-field contact form (labeled 'Sent A Message') on homepage; site also has unrelated e-commerce login/signup fields (not part of contact form)","Fukuoka-shi Nishi-ku, supplements & cosmetics ('安心・安全・高品質の価値あるサプリメント＆コスメ'). No captcha script detected in HTML, no sales-prohibition wording found."
株式会社呉服なかやま,,,site_not_found,unclear,unclear,unclear,,"Could not find an official website or business listing matching this exact company name via multiple web searches (Fukuoka, Oita, and unqualified searches). No confident match identified."
株式会社ピュアヘルス,https://purehealth.co.jp/,http://purehealth.co.jp/?p=687,existing_customer_only,unclear,no,no,,"Fukuoka-shi Hakata-ku, health food (CoQ10 supplements) and cosmetics e-commerce, confirmed match. 'お客様サポート・お問い合わせ' page only covers order/shipping/payment/product questions for existing customers, with phone, FAX, and mailto (info@purehealth.co.jp); no general business-inquiry web form found. No captcha present."
株式会社ＮＩＳＨＩＫＡＲＡ,https://www.eviw.jp/,https://www.eviw.jp/contact,general_inquiry,no,yes,no,"last name (姓), first name (名), email (required, maxlength 250), message textarea, submit button; also LINE official account link listed as alternative contact","Operates 'eviw' hair care/cosmetics brand (shampoo/treatment), Fukuoka-shi Jonan-ku per tokutei-shotorihiki listing (代表者 山口達也, tel 092-600-4464). Wix-built contact page; recaptcha/captcha keyword detected in page HTML. No sales-prohibition wording found."
ＭＡＲＵＪＵＮ株式会社,https://shinnocare.com/,https://shinnocare.com/contact.html,general_inquiry,no,no,no,"inquiry-purpose checkboxes [お問い合わせ, お肌に関するご相談, 商品及び注文に関するご相談, その他], name(kanji, required), name furigana(required), email(required), email confirm(required), phone(required), postal code, address, message textarea(required), confirmation step before submit","Fukuoka-shi Chuo-ku Tenjin, skincare brand (真の肌ケア/Shinnocare). No captcha detected in HTML, no sales-prohibition wording found on page."
株式会社オーラテック,https://aura-tec.com/,https://aura-tec.com/contact/,general_inquiry,no,yes,no,"company name(optional), name sei/mei split, prefecture, email, phone, inquiry-type checkboxes [産業用について, 農事用について, シャワーヘッドについて, 化粧品について, その他], message textarea, reCAPTCHA v3 (recaptcha-v3 hidden field + g-recaptcha-response), confirm-before-submit button","Fukuoka-ken Chikugo-shi, microbubble technology maker with cosmetics/beauty products (shower heads, salon equipment, cosmetics category in inquiry type). No sales-prohibition wording found; note site itself warns of a scam site impersonating them (2025.04.08 news item), unrelated to sales solicitation policy."
株式会社ＷＡＳＥＩ,https://wasei-beauty.online,https://wasei-beauty.online/pages/contact,general_inquiry,no,yes,no,"name, email, inquiry-type dropdown [商品について/ご注文について/返品・交換について/OEM・法人のお問い合わせ/その他], message textarea (Shopify contact form)","Company registry address (Fukuoka-shi Chuo-ku Watanabedori 1-1-1 Sanselco Bldg 1F) matches; note original wasei-beauty.com domain (implying beauty business) is now unreachable/DNS not resolving, current live site wasei-beauty.online sells cashmere apparel rather than cosmetics - possible business pivot under same corporate entity; recaptcha script detected in page HTML"
株式会社ＭｙＬａｆｉｌｌ,https://home.mylafill.com/,https://home.mylafill.com/,general_inquiry,no,yes,no,"name, email, phone(optional), message textarea; single-page site (Wix) with embedded contact form under CONTACT section","Confirmed Fukuoka-based skincare brand (MyLafill/ミラフィル). Note: mylafill.com (separate store domain found in search) has an SSL cert mismatch and now resolves to an unrelated company (Purechemica) - do not use that domain; recaptcha script present in page HTML (Wix site, may be library reference not necessarily active on this form)"
株式会社スノーアペゼ,https://www.apezer.jp/,,site_not_found,unclear,unclear,unclear,,"Company confirmed via corporate registry: Fukuoka-shi Jonan-ku Tomooka 3-5-21, natural/additive-free cosmetics developer & wholesaler (brand 'Snow Apezer'). Official domain apezer.jp does NOT resolve (DNS failure) as of research date - site appears to be down/expired; only found via Wayback Machine archive (2021 snapshot). No alternate live domain found via search."
株式会社あすなろわかさ,https://asunaro-wakasa.jp/,https://asunaro-wakasa.jp/contact/,general_inquiry,no,yes,no,"name(optional per form but marked required in visible text), email, phone, message textarea; reCAPTCHA present (g-recaptcha-response field, WPCF7 plugin)","Confirmed Fukuoka-shi Hakata-ku address, D2C health-food/basic-cosmetics online retailer. Contact page is primarily customer-support oriented (subscription cancellation must be by phone; member changes via mypage) but includes a 'その他お問い合わせ' (other inquiries) form usable for general contact"
ｈｉｒｏｅ‐ａｍｏｕｒ株式会社,https://hiroeamour.com/,https://hiroeamour.com/contact/,general_inquiry,no,no,no,"name, email, phone, message textarea (WPCF7 form with Akismet honeypot field, no reCAPTCHA detected)","Confirmed Fukuoka-shi Chuo-ku Watanabedori address, dentist-developed lip/oral-care cosmetics brand"
株式会社ベルフラワー,https://bellflower.inc/,https://onlinestore.bellflower.inc/pages/contact,general_inquiry,no,yes,no,"name(optional), email(required), phone(optional), comment textarea (Shopify contact form)","Confirmed via legal-notice page: Fukuoka-shi Hakata-ku Itazuke address, skincare cosmetics brand 'HWA'. Note: unrelated same-name company registered in Gifu also exists per gBizINFO - used Fukuoka one based on address match. recaptcha script detected in page HTML"
株式会社アイ・プロダクツ,https://www.eyepro-ltd.jp/,https://www.eyepro-ltd.jp/contact/,general_inquiry,no,no,no,"name(required), email(required), subject(optional), message textarea (WPCF7 form, no captcha detected)","Confirmed Fukuoka-shi Hakata-ku Chiyo address; original cosmetics/goods developer, wholesale domestic & overseas, OEM contractor"
有限会社すみれ和装研究所,,,site_not_found,unclear,unclear,unclear,,"Company confirmed to exist (Fukuoka-ken Miyawaka-shi Tsuruta 1211, wasou/kimono tailoring, tel 0949-32-5840) via multiple directory sites (Yahoo Map, Mapion, NAVITIME, iTown Page, Ekiten, Akala DB) but no official company website found in any search; Akala DB explicitly notes no homepage listed"
合同会社Ｆｏｒｔｕｎｅ　ｉｎ,https://fortune-in-salon.com,https://fortune-in-salon.com,general_inquiry,no,no,no,"name, email, message textarea (all required); single-page contact form embedded on homepage","Address confirmed Fukuoka-shi Jonan-ku; business: esthetic salon operation, beauty consulting, beauty/health food sales"
株式会社ＤＭＪ,https://0120390333.jp,https://www.0120390333.jp/contact.html,existing_customer_only,no,no,no,"name, email, phone(optional), inquiry-type dropdown [商品について/ご注文について/配送について/返品・交換について/その他], message textarea",Fukuoka-shi Chuo-ku Keigo address confirmed via search (corp number 3290001007748); ecommerce brand site CME馬油化粧品 for 株式会社DMJ; form oriented toward existing customers (product/order/shipping/returns) with an 'other' catch-all option; note corp.dmjegao.com is an unrelated Tokyo company with same name
